state_name,gender,category_name,aspirational_final,class,amount_of_scholarship
Arunachal Pradesh,Girls,Gen,Non-Aspirational,9,10000.0
Assam,Boys,Gen,Aspirational,10,40000.0
Assam,Boys,Gen,Non-Aspirational,6,30000.0
Assam,Boys,Gen,Non-Aspirational,7,20000.0
Assam,Boys,Gen,Non-Aspirational,8,50000.0
Assam,Boys,Gen,Non-Aspirational,9,180000.0
Assam,Boys,Gen,Non-Aspirational,10,90000.0
Assam,Boys,OBC,Aspirational,9,20000.0
Assam,Boys,OBC,Non-Aspirational,6,40000.0
Assam,Boys,OBC,Non-Aspirational,7,50000.0
Assam,Boys,OBC,Non-Aspirational,8,80000.0
Assam,Boys,OBC,Non-Aspirational,9,60000.0
Assam,Boys,OBC,Non-Aspirational,10,100000.0
Assam,Boys,SC,Non-Aspirational,8,20000.0
Assam,Boys,SC,Non-Aspirational,10,60000.0
Assam,Boys,ST,Non-Aspirational,7,20000.0
Assam,Boys,ST,Non-Aspirational,8,20000.0
Assam,Boys,ST,Non-Aspirational,10,70000.0
Assam,Girls,Gen,Aspirational,8,10000.0
Assam,Girls,Gen,Non-Aspirational,6,20000.0
Assam,Girls,Gen,Non-Aspirational,7,60000.0
Assam,Girls,Gen,Non-Aspirational,8,70000.0
Assam,Girls,Gen,Non-Aspirational,9,100000.0
Assam,Girls,Gen,Non-Aspirational,10,40000.0
Assam,Girls,OBC,Aspirational,9,10000.0
Assam,Girls,OBC,Aspirational,10,10000.0
Assam,Girls,OBC,Non-Aspirational,6,10000.0
Assam,Girls,OBC,Non-Aspirational,8,50000.0
Assam,Girls,OBC,Non-Aspirational,9,120000.0
Assam,Girls,OBC,Non-Aspirational,10,100000.0
Assam,Girls,SC,Aspirational,9,10000.0
Assam,Girls,SC,Non-Aspirational,8,30000.0
Assam,Girls,SC,Non-Aspirational,9,40000.0
Assam,Girls,SC,Non-Aspirational,10,30000.0
Assam,Girls,ST,Aspirational,10,10000.0
Assam,Girls,ST,Non-Aspirational,8,20000.0
Assam,Girls,ST,Non-Aspirational,9,20000.0
Assam,Girls,ST,Non-Aspirational,10,20000.0
Bihar,Boys,Gen,Aspirational,6,120000.0
Bihar,Boys,Gen,Aspirational,7,180000.0
Bihar,Boys,Gen,Aspirational,8,370000.0
Bihar,Boys,Gen,Aspirational,9,310000.0
Bihar,Boys,Gen,Aspirational,10,240000.0
Bihar,Boys,Gen,Non-Aspirational,6,160000.0
Bihar,Boys,Gen,Non-Aspirational,7,360000.0
Bihar,Boys,Gen,Non-Aspirational,8,750000.0
Bihar,Boys,Gen,Non-Aspirational,9,620000.0
Bihar,Boys,Gen,Non-Aspirational,10,560000.0
Bihar,Boys,OBC,Aspirational,6,420000.0
Bihar,Boys,OBC,Aspirational,7,1030000.0
Bihar,Boys,OBC,Aspirational,8,1800000.0
Bihar,Boys,OBC,Aspirational,9,960000.0
Bihar,Boys,OBC,Aspirational,10,640000.0
Bihar,Boys,OBC,Non-Aspirational,6,430000.0
Bihar,Boys,OBC,Non-Aspirational,7,1210000.0
Bihar,Boys,OBC,Non-Aspirational,8,2580000.0
Bihar,Boys,OBC,Non-Aspirational,9,1440000.0
Bihar,Boys,OBC,Non-Aspirational,10,1060000.0
Bihar,Boys,SC,Aspirational,6,120000.0
Bihar,Boys,SC,Aspirational,7,170000.0
Bihar,Boys,SC,Aspirational,8,340000.0
Bihar,Boys,SC,Aspirational,9,170000.0
Bihar,Boys,SC,Aspirational,10,50000.0
Bihar,Boys,SC,Non-Aspirational,6,120000.0
Bihar,Boys,SC,Non-Aspirational,7,190000.0
Bihar,Boys,SC,Non-Aspirational,8,510000.0
Bihar,Boys,SC,Non-Aspirational,9,90000.0
Bihar,Boys,SC,Non-Aspirational,10,120000.0
Bihar,Boys,ST,Aspirational,7,10000.0
Bihar,Boys,ST,Aspirational,8,20000.0
Bihar,Boys,ST,Aspirational,9,30000.0
Bihar,Boys,ST,Non-Aspirational,6,20000.0
Bihar,Boys,ST,Non-Aspirational,8,40000.0
Bihar,Boys,ST,Non-Aspirational,9,10000.0
Bihar,Boys,ST,Non-Aspirational,10,20000.0
Bihar,Girls,Gen,Aspirational,6,70000.0
Bihar,Girls,Gen,Aspirational,7,360000.0
Bihar,Girls,Gen,Aspirational,8,460000.0
Bihar,Girls,Gen,Aspirational,9,330000.0
Bihar,Girls,Gen,Aspirational,10,150000.0
Bihar,Girls,Gen,Non-Aspirational,6,120000.0
Bihar,Girls,Gen,Non-Aspirational,7,290000.0
Bihar,Girls,Gen,Non-Aspirational,8,820000.0
Bihar,Girls,Gen,Non-Aspirational,9,560000.0
Bihar,Girls,Gen,Non-Aspirational,10,310000.0
Bihar,Girls,OBC,Aspirational,6,340000.0
Bihar,Girls,OBC,Aspirational,7,990000.0
Bihar,Girls,OBC,Aspirational,8,1960000.0
Bihar,Girls,OBC,Aspirational,9,820000.0
Bihar,Girls,OBC,Aspirational,10,430000.0
Bihar,Girls,OBC,Non-Aspirational,6,460000.0
Bihar,Girls,OBC,Non-Aspirational,7,1120000.0
Bihar,Girls,OBC,Non-Aspirational,8,3300000.0
Bihar,Girls,OBC,Non-Aspirational,9,1440000.0
Bihar,Girls,OBC,Non-Aspirational,10,930000.0
Bihar,Girls,SC,Aspirational,6,80000.0
Bihar,Girls,SC,Aspirational,7,70000.0
Bihar,Girls,SC,Aspirational,8,290000.0
Bihar,Girls,SC,Aspirational,9,120000.0
Bihar,Girls,SC,Aspirational,10,70000.0
Bihar,Girls,SC,Non-Aspirational,6,70000.0
Bihar,Girls,SC,Non-Aspirational,7,150000.0
Bihar,Girls,SC,Non-Aspirational,8,440000.0
Bihar,Girls,SC,Non-Aspirational,9,120000.0
