Year,State name,District Name,Aspirational Final,Class,Amount of Scholarship,Scholarship_Category_Ratio,Gender_Binary,Cat_Gen,Cat_Obc,Cat_Sc,Cat_St
2023,Rajasthan,Sirohi,Aspirational,7,10000,0.15246305986491782,0,False,False,True,False
2023,Tamil Nadu,Ramanathapuram,Aspirational,7,10000,0.15246305986491782,0,False,False,True,False
2023,Tamil Nadu,Ramanathapuram,Aspirational,7,10000,0.15246305986491782,0,False,False,True,False
2023,Tamil Nadu,Ramanathapuram,Aspirational,7,10000,0.15246305986491782,0,False,False,True,False
2023,Odisha,Rayagada,Aspirational,8,10000,0.15246305986491782,0,False,False,True,False
2023,Punjab,Firozpur,Aspirational,8,10000,0.15246305986491782,0,False,False,True,False
2023,Punjab,Firozpur,Aspirational,8,10000,0.15246305986491782,0,False,False,True,False
2023,Punjab,Firozpur,Aspirational,8,10000,0.15246305986491782,0,False,False,True,False
2023,Punjab,Firozpur,Aspirational,8,10000,0.15246305986491782,0,False,False,True,False
2023,Punjab,Moga,Aspirational,8,10000,0.15246305986491782,0,False,False,True,False
2023,Rajasthan,Karauli,Aspirational,8,10000,0.15246305986491782,0,False,False,True,False
2023,Rajasthan,Karauli,Aspirational,8,10000,0.15246305986491782,0,False,False,True,False
2023,Rajasthan,Karauli,Aspirational,8,10000,0.15246305986491782,0,False,False,True,False
2023,Rajasthan,Sirohi,Aspirational,8,10000,0.15246305986491782,0,False,False,True,False
2023,Rajasthan,Sirohi,Aspirational,8,10000,0.15246305986491782,0,False,False,True,False
2023,Tamil Nadu,Ramanathapuram,Aspirational,8,10000,0.15246305986491782,0,False,False,True,False
2023,Odisha,Rayagada,Aspirational,9,10000,0.15246305986491782,0,False,False,True,False
2023,Odisha,Rayagada,Aspirational,9,10000,0.15246305986491782,0,False,False,True,False
2023,Odisha,Rayagada,Aspirational,9,10000,0.15246305986491782,0,False,False,True,False
2023,Odisha,Rayagada,Aspirational,9,10000,0.15246305986491782,0,False,False,True,False
2023,Punjab,Firozpur,Aspirational,9,10000,0.15246305986491782,0,False,False,True,False
2023,Punjab,Firozpur,Aspirational,9,10000,0.15246305986491782,0,False,False,True,False
2023,Punjab,Firozpur,Aspirational,9,10000,0.15246305986491782,0,False,False,True,False
2023,Rajasthan,Karauli,Aspirational,9,10000,0.15246305986491782,0,False,False,True,False
2023,Rajasthan,Sirohi,Aspirational,9,10000,0.15246305986491782,0,False,False,True,False
2023,Andhra Pradesh,Y.S.R.,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Aurangabad(1),Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Aurangabad(1),Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Aurangabad(1),Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Aurangabad(1),Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Begusarai,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Begusarai,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Begusarai,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Gaya,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Khagaria,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Muzaffarpur,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Purnia,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Bihar,Purnia,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Chhattisgarh,Bastar,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Himachal Pradesh,Chamba,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Baramulla,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jammu & Kashmir,Kupwara,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jharkhand,Bokaro,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jharkhand,Bokaro,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jharkhand,Garhwa,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jharkhand,Giridih,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jharkhand,Khunti,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jharkhand,Lohardaga,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jharkhand,Palamu,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jharkhand,Palamu,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
2023,Jharkhand,Palamu,Aspirational,6,10000,0.22982411654871948,0,True,False,False,False
