state_name,category_name,aspirational_final,class,amount_of_scholarship,gender_male
Chhattisgarh,Gen,True,0.25,80000.0,False
Chhattisgarh,Gen,True,0.5,60000.0,False
Chhattisgarh,Gen,True,0.75,110000.0,False
Chhattisgarh,Gen,True,1.0,80000.0,False
Chhattisgarh,Gen,False,0.0,50000.0,False
Chhattisgarh,Gen,False,0.25,160000.0,False
Chhattisgarh,Gen,False,0.5,210000.0,False
Chhattisgarh,Gen,False,0.75,230000.0,False
Chhattisgarh,Gen,False,1.0,320000.0,False
Chhattisgarh,OBC,True,0.0,170000.0,False
Chhattisgarh,OBC,True,0.25,350000.0,False
Chhattisgarh,OBC,True,0.5,780000.0,False
Chhattisgarh,OBC,True,0.75,500000.0,False
Chhattisgarh,OBC,True,1.0,580000.0,False
Chhattisgarh,OBC,False,0.0,570000.0,False
Chhattisgarh,OBC,False,0.25,1230000.0,False
Chhattisgarh,OBC,False,0.5,2380000.0,False
Chhattisgarh,OBC,False,0.75,1610000.0,False
Chhattisgarh,OBC,False,1.0,2150000.0,False
Chhattisgarh,SC,True,0.0,40000.0,False
Chhattisgarh,SC,True,0.25,150000.0,False
Chhattisgarh,SC,True,0.5,150000.0,False
Chhattisgarh,SC,True,0.75,70000.0,False
Chhattisgarh,SC,True,1.0,130000.0,False
Chhattisgarh,SC,False,0.0,200000.0,False
Chhattisgarh,SC,False,0.25,410000.0,False
Chhattisgarh,SC,False,0.5,750000.0,False
Chhattisgarh,SC,False,0.75,310000.0,False
Chhattisgarh,SC,False,1.0,520000.0,False
Chhattisgarh,ST,True,0.0,350000.0,False
Chhattisgarh,ST,True,0.25,610000.0,False
Chhattisgarh,ST,True,0.5,980000.0,False
Chhattisgarh,ST,True,0.75,420000.0,False
Chhattisgarh,ST,True,1.0,680000.0,False
Chhattisgarh,ST,False,0.0,240000.0,False
Chhattisgarh,ST,False,0.25,590000.0,False
Chhattisgarh,ST,False,0.5,1000000.0,False
Chhattisgarh,ST,False,0.75,350000.0,False
Chhattisgarh,ST,False,1.0,570000.0,False
Dadra and Nagar Haveli & Daman and Diu,Gen,False,0.5,10000.0,True
Dadra and Nagar Haveli & Daman and Diu,Gen,False,0.75,20000.0,True
Dadra and Nagar Haveli & Daman and Diu,Gen,False,1.0,10000.0,True
Dadra and Nagar Haveli & Daman and Diu,Gen,False,0.75,10000.0,False
