Year,State name,District Name,Aspirational Final,Category name,Class,Gender,Amount of Scholarship,Scholarship_Category_Ratio
2023,Odisha,Rayagada,Aspirational,Sc,9,Boys,10000,0.15246305986491782
2023,Odisha,Rayagada,Aspirational,Sc,9,Boys,10000,0.15246305986491782
2023,Odisha,Rayagada,Aspirational,Sc,9,Boys,10000,0.15246305986491782
2023,Odisha,Rayagada,Aspirational,Sc,9,Boys,10000,0.15246305986491782
2023,Odisha,Rayagada,Aspirational,Sc,9,Boys,10000,0.15246305986491782
2023,Punjab,Firozpur,Aspirational,Sc,9,Boys,10000,0.15246305986491782
2023,Punjab,Moga,Aspirational,Sc,9,Boys,10000,0.15246305986491782
2023,Rajasthan,Karauli,Aspirational,Sc,9,Boys,10000,0.15246305986491782
2023,Rajasthan,Karauli,Aspirational,Sc,9,Boys,10000,0.15246305986491782
2023,Rajasthan,Karauli,Aspirational,Sc,9,Boys,10000,0.15246305986491782
2023,Rajasthan,Sirohi,Aspirational,Sc,9,Boys,10000,0.15246305986491782
2023,Rajasthan,Sirohi,Aspirational,Sc,9,Boys,10000,0.15246305986491782
2023,Odisha,Rayagada,Aspirational,Sc,10,Boys,10000,0.15246305986491782
2023,Rajasthan,Karauli,Aspirational,Sc,10,Boys,10000,0.15246305986491782
2023,Rajasthan,Karauli,Aspirational,Sc,10,Boys,10000,0.15246305986491782
2023,Rajasthan,Karauli,Aspirational,Sc,10,Boys,10000,0.15246305986491782
2023,Rajasthan,Karauli,Aspirational,Sc,10,Boys,10000,0.15246305986491782
2023,Rajasthan,Karauli,Aspirational,Sc,10,Boys,10000,0.15246305986491782
2023,Rajasthan,Sirohi,Aspirational,Sc,10,Boys,10000,0.15246305986491782
2023,Odisha,Nuapada,Aspirational,St,6,Boys,10000,0.09338189529978562
2023,Odisha,Rayagada,Aspirational,St,7,Boys,10000,0.09338189529978562
2023,Rajasthan,Karauli,Aspirational,St,7,Boys,10000,0.09338189529978562
2023,Rajasthan,Dholpur,Aspirational,St,8,Boys,10000,0.09338189529978562
2023,Rajasthan,Karauli,Aspirational,St,8,Boys,10000,0.09338189529978562
2023,Rajasthan,Sirohi,Aspirational,St,8,Boys,10000,0.09338189529978562
2023,Rajasthan,Sirohi,Aspirational,St,8,Boys,10000,0.09338189529978562
2023,Rajasthan,Sirohi,Aspirational,St,8,Boys,10000,0.09338189529978562
2023,Rajasthan,Sirohi,Aspirational,St,8,Boys,10000,0.09338189529978562
2023,Rajasthan,Sirohi,Aspirational,St,8,Boys,10000,0.09338189529978562
2023,Odisha,Rayagada,Aspirational,St,9,Boys,10000,0.09338189529978562
2023,Odisha,Rayagada,Aspirational,St,9,Boys,10000,0.09338189529978562
2023,Odisha,Rayagada,Aspirational,St,9,Boys,10000,0.09338189529978562
2023,Odisha,Rayagada,Aspirational,St,9,Boys,10000,0.09338189529978562
2023,Rajasthan,Sirohi,Aspirational,St,9,Boys,10000,0.09338189529978562
2023,Rajasthan,Sirohi,Aspirational,St,9,Boys,10000,0.09338189529978562
2023,Rajasthan,Karauli,Aspirational,St,10,Boys,10000,0.09338189529978562
2023,Rajasthan,Karauli,Aspirational,St,10,Boys,10000,0.09338189529978562
2023,Odisha,Rayagada,Aspirational,Gen,8,Girls,10000,0.22982411654871948
2023,Odisha,Rayagada,Aspirational,Gen,8,Girls,10000,0.22982411654871948
2023,Punjab,Firozpur,Aspirational,Gen,8,Girls,10000,0.22982411654871948
2023,Rajasthan,Karauli,Aspirational,Gen,8,Girls,10000,0.22982411654871948
2023,Rajasthan,Sirohi,Aspirational,Gen,8,Girls,10000,0.22982411654871948
2023,Rajasthan,Sirohi,Aspirational,St,10,Boys,10000,0.09338189529978562
2023,Punjab,Firozpur,Aspirational,Gen,6,Girls,10000,0.22982411654871948
2023,Odisha,Rayagada,Aspirational,Obc,8,Girls,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,8,Girls,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,8,Girls,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,8,Girls,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,8,Girls,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,8,Girls,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,8,Girls,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,8,Girls,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,8,Girls,10000,0.5243309282865771
2023,Odisha,Rayagada,Aspirational,Gen,7,Girls,10000,0.22982411654871948
