state_name,category_name,aspirational_final,class,amount_of_scholarship,gender_male,is_outlier
Rajasthan,SC,False,0.5,1940000.0,False,True
Rajasthan,SC,False,0.75,1380000.0,False,True
Rajasthan,SC,False,1.0,1440000.0,False,True
Rajasthan,ST,False,0.5,1280000.0,False,True
Rajasthan,ST,False,1.0,830000.0,False,True
Telangana,OBC,False,0.25,980000.0,True,True
Telangana,OBC,False,0.5,1800000.0,True,True
Telangana,OBC,False,0.75,2690000.0,True,True
Telangana,OBC,False,1.0,1280000.0,True,True
Telangana,SC,False,0.75,880000.0,True,True
Telangana,Gen,False,0.75,820000.0,False,True
Telangana,OBC,False,0.25,1090000.0,False,True
Telangana,OBC,False,0.5,2110000.0,False,True
Telangana,OBC,False,0.75,3700000.0,False,True
Telangana,OBC,False,1.0,1780000.0,False,True
Telangana,SC,False,0.75,910000.0,False,True
Uttar Pradesh,Gen,False,1.0,930000.0,True,True
Uttar Pradesh,OBC,False,1.0,800000.0,True,True
Uttarakhand,Gen,False,0.25,810000.0,True,True
Uttarakhand,Gen,False,0.5,1190000.0,True,True
Uttarakhand,Gen,False,0.75,1030000.0,True,True
Uttarakhand,Gen,False,1.0,1220000.0,True,True
Uttarakhand,Gen,False,0.25,800000.0,False,True
Uttarakhand,Gen,False,0.5,1000000.0,False,True
Uttarakhand,Gen,False,0.75,1160000.0,False,True
Uttarakhand,Gen,False,1.0,1260000.0,False,True
