state_name,category_name,aspirational_final,class,amount_of_scholarship,gender_male,is_outlier
Assam,ST,False,0.75,20000.0,False,False
Assam,ST,False,1.0,20000.0,False,False
Bihar,Gen,True,0.0,120000.0,True,False
Bihar,Gen,True,0.25,180000.0,True,False
Bihar,Gen,True,0.5,370000.0,True,False
Bihar,Gen,True,0.75,310000.0,True,False
Bihar,Gen,True,1.0,240000.0,True,False
Bihar,Gen,False,0.0,160000.0,True,False
Bihar,Gen,False,0.25,360000.0,True,False
Bihar,Gen,False,0.5,750000.0,True,False
Bihar,Gen,False,0.75,620000.0,True,False
Bihar,Gen,False,1.0,560000.0,True,False
Bihar,OBC,True,0.0,420000.0,True,False
Bihar,OBC,True,1.0,640000.0,True,False
Bihar,OBC,False,0.0,430000.0,True,False
Bihar,SC,True,0.0,120000.0,True,False
Bihar,SC,True,0.25,170000.0,True,False
Bihar,SC,True,0.5,340000.0,True,False
Bihar,SC,True,0.75,170000.0,True,False
Bihar,SC,True,1.0,50000.0,True,False
Bihar,SC,False,0.0,120000.0,True,False
Bihar,SC,False,0.25,190000.0,True,False
Bihar,SC,False,0.5,510000.0,True,False
Bihar,SC,False,0.75,90000.0,True,False
Bihar,SC,False,1.0,120000.0,True,False
Bihar,ST,True,0.25,10000.0,True,False
Bihar,ST,True,0.5,20000.0,True,False
Bihar,ST,True,0.75,30000.0,True,False
Bihar,ST,False,0.0,20000.0,True,False
Bihar,ST,False,0.5,40000.0,True,False
Bihar,ST,False,0.75,10000.0,True,False
Bihar,ST,False,1.0,20000.0,True,False
Bihar,Gen,True,0.0,70000.0,False,False
Bihar,Gen,True,0.25,360000.0,False,False
Bihar,Gen,True,0.5,460000.0,False,False
Bihar,Gen,True,0.75,330000.0,False,False
Bihar,Gen,True,1.0,150000.0,False,False
Bihar,Gen,False,0.0,120000.0,False,False
Bihar,Gen,False,0.25,290000.0,False,False
Bihar,Gen,False,0.75,560000.0,False,False
Bihar,Gen,False,1.0,310000.0,False,False
Bihar,OBC,True,0.0,340000.0,False,False
Bihar,OBC,True,1.0,430000.0,False,False
Bihar,OBC,False,0.0,460000.0,False,False
Bihar,SC,True,0.0,80000.0,False,False
Bihar,SC,True,0.25,70000.0,False,False
Bihar,SC,True,0.5,290000.0,False,False
Bihar,SC,True,0.75,120000.0,False,False
Bihar,SC,True,1.0,70000.0,False,False
Bihar,SC,False,0.0,70000.0,False,False
Bihar,SC,False,0.25,150000.0,False,False
Bihar,SC,False,0.5,440000.0,False,False
Bihar,SC,False,0.75,120000.0,False,False
Bihar,SC,False,1.0,170000.0,False,False
Bihar,ST,True,0.25,10000.0,False,False
Bihar,ST,True,0.5,40000.0,False,False
Bihar,ST,False,0.25,20000.0,False,False
Bihar,ST,False,0.5,20000.0,False,False
Bihar,ST,False,0.75,30000.0,False,False
Bihar,ST,False,1.0,20000.0,False,False
Chandigarh,Gen,False,0.0,60000.0,True,False
Chandigarh,Gen,False,0.25,100000.0,True,False
Chandigarh,Gen,False,0.5,130000.0,True,False
Chandigarh,Gen,False,0.75,180000.0,True,False
Chandigarh,Gen,False,1.0,90000.0,True,False
Chandigarh,OBC,False,0.5,20000.0,True,False
Chandigarh,OBC,False,0.75,20000.0,True,False
Chandigarh,OBC,False,1.0,40000.0,True,False
Chandigarh,SC,False,0.5,30000.0,True,False
Chandigarh,SC,False,0.75,40000.0,True,False
Chandigarh,SC,False,1.0,40000.0,True,False
Chandigarh,Gen,False,0.25,100000.0,False,False
Chandigarh,Gen,False,0.5,80000.0,False,False
Chandigarh,Gen,False,0.75,90000.0,False,False
Chandigarh,Gen,False,1.0,80000.0,False,False
Chandigarh,OBC,False,0.0,10000.0,False,False
Chandigarh,OBC,False,0.5,10000.0,False,False
Chandigarh,OBC,False,1.0,30000.0,False,False
Chandigarh,SC,False,0.0,10000.0,False,False
Chandigarh,SC,False,0.5,10000.0,False,False
Chandigarh,SC,False,0.75,20000.0,False,False
Chandigarh,SC,False,1.0,10000.0,False,False
Chandigarh,ST,False,0.25,10000.0,False,False
Chandigarh,ST,False,1.0,10000.0,False,False
Chhattisgarh,Gen,True,0.0,10000.0,True,False
Chhattisgarh,Gen,True,0.25,40000.0,True,False
Chhattisgarh,Gen,True,0.5,110000.0,True,False
Chhattisgarh,Gen,True,0.75,70000.0,True,False
Chhattisgarh,Gen,True,1.0,60000.0,True,False
Chhattisgarh,Gen,False,0.0,120000.0,True,False
Chhattisgarh,Gen,False,0.25,180000.0,True,False
Chhattisgarh,Gen,False,0.5,230000.0,True,False
Chhattisgarh,Gen,False,0.75,230000.0,True,False
Chhattisgarh,Gen,False,1.0,330000.0,True,False
Chhattisgarh,OBC,True,0.0,130000.0,True,False
Chhattisgarh,OBC,True,0.25,360000.0,True,False
Chhattisgarh,OBC,True,0.5,580000.0,True,False
Chhattisgarh,OBC,True,0.75,450000.0,True,False
Chhattisgarh,OBC,True,1.0,610000.0,True,False
Chhattisgarh,OBC,False,0.0,330000.0,True,False
Chhattisgarh,SC,True,0.0,30000.0,True,False
Chhattisgarh,SC,True,0.25,50000.0,True,False
Chhattisgarh,SC,True,0.5,50000.0,True,False
Chhattisgarh,SC,True,0.75,80000.0,True,False
Chhattisgarh,SC,True,1.0,70000.0,True,False
Chhattisgarh,SC,False,0.0,70000.0,True,False
Chhattisgarh,SC,False,0.25,250000.0,True,False
Chhattisgarh,SC,False,0.5,440000.0,True,False
Chhattisgarh,SC,False,0.75,300000.0,True,False
Chhattisgarh,SC,False,1.0,360000.0,True,False
Chhattisgarh,ST,True,0.0,370000.0,True,False
Chhattisgarh,ST,True,0.25,470000.0,True,False
Chhattisgarh,ST,True,0.75,470000.0,True,False
Chhattisgarh,ST,True,1.0,500000.0,True,False
Chhattisgarh,ST,False,0.0,140000.0,True,False
Chhattisgarh,ST,False,0.25,290000.0,True,False
Chhattisgarh,ST,False,0.5,610000.0,True,False
Chhattisgarh,ST,False,0.75,250000.0,True,False
Chhattisgarh,ST,False,1.0,310000.0,True,False
Chhattisgarh,Gen,True,0.0,20000.0,False,False
Chhattisgarh,Gen,True,0.25,80000.0,False,False
Chhattisgarh,Gen,True,0.5,60000.0,False,False
Chhattisgarh,Gen,True,0.75,110000.0,False,False
Chhattisgarh,Gen,True,1.0,80000.0,False,False
Chhattisgarh,Gen,False,0.0,50000.0,False,False
Chhattisgarh,Gen,False,0.25,160000.0,False,False
Chhattisgarh,Gen,False,0.5,210000.0,False,False
Chhattisgarh,Gen,False,0.75,230000.0,False,False
Chhattisgarh,Gen,False,1.0,320000.0,False,False
Chhattisgarh,OBC,True,0.0,170000.0,False,False
Chhattisgarh,OBC,True,0.25,350000.0,False,False
Chhattisgarh,OBC,True,0.75,500000.0,False,False
Chhattisgarh,OBC,True,1.0,580000.0,False,False
Chhattisgarh,OBC,False,0.0,570000.0,False,False
Chhattisgarh,SC,True,0.0,40000.0,False,False
Chhattisgarh,SC,True,0.25,150000.0,False,False
Chhattisgarh,SC,True,0.5,150000.0,False,False
Chhattisgarh,SC,True,0.75,70000.0,False,False
Chhattisgarh,SC,True,1.0,130000.0,False,False
Chhattisgarh,SC,False,0.0,200000.0,False,False
Chhattisgarh,SC,False,0.25,410000.0,False,False
Chhattisgarh,SC,False,0.5,750000.0,False,False
Chhattisgarh,SC,False,0.75,310000.0,False,False
Chhattisgarh,SC,False,1.0,520000.0,False,False
Chhattisgarh,ST,True,0.0,350000.0,False,False
Chhattisgarh,ST,True,0.25,610000.0,False,False
Chhattisgarh,ST,True,0.75,420000.0,False,False
Chhattisgarh,ST,True,1.0,680000.0,False,False
Chhattisgarh,ST,False,0.0,240000.0,False,False
Chhattisgarh,ST,False,0.25,590000.0,False,False
Chhattisgarh,ST,False,0.75,350000.0,False,False
Chhattisgarh,ST,False,1.0,570000.0,False,False
Dadra and Nagar Haveli & Daman and Diu,Gen,False,0.5,10000.0,True,False
